skill,intent,example
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,has sentit el que t'he dit?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,m'has entès?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,t'ha quedat clar?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,ho has comprès?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,t'has assabentat del que he dit?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,tot clar?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,m'escoltes?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,"hola, hi ets?"
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,em segueixes?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,estàs parant atenció?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,digues si em sents
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,ho has sentit bé?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,que has entès el que he dit?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,t'has enterat?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,ho has pillat?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,captes el que et dic?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,has pogut captar la informació que t'he donat?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,m'has pogut seguir?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,has entès totes les meves paraules?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,m'has sentit bé o he anat massa ràpid parlant?
ovos-skill-parrot.openvoiceos,did.you.hear.me.intent,has pogut agafar el meu missatge?
ovos-skill-parrot.openvoiceos,repeat.stt.intent,repeteix el que acabo de dir
ovos-skill-parrot.openvoiceos,repeat.stt.intent,pots tornar a dir el que he dit jo
ovos-skill-parrot.openvoiceos,repeat.stt.intent,què acabo de dir?
ovos-skill-parrot.openvoiceos,repeat.stt.intent,repeteix les meves últimes paraules
ovos-skill-parrot.openvoiceos,repeat.stt.intent,què t'he dit abans?
ovos-skill-parrot.openvoiceos,repeat.stt.intent,"si m'has entès, repeteix el que he dit"
ovos-skill-parrot.openvoiceos,repeat.stt.intent,torna a dir el que t'he dit
ovos-skill-parrot.openvoiceos,repeat.stt.intent,repeteix l'últim que he dit
ovos-skill-parrot.openvoiceos,repeat.stt.intent,recordes el que acabo de dir?
ovos-skill-parrot.openvoiceos,repeat.stt.intent,digues exactament allò que he dit
ovos-skill-parrot.openvoiceos,repeat.stt.intent,a veure què t'acabo de dir
ovos-skill-parrot.openvoiceos,repeat.stt.intent,pots tornar a dir el que he dit?
ovos-skill-parrot.openvoiceos,repeat.stt.intent,repeteix l'últim que t'he dit
ovos-skill-parrot.openvoiceos,repeat.stt.intent,sabries reiterar l'última cosa que he dit?
ovos-skill-parrot.openvoiceos,repeat.stt.intent,"si us plau, repeteix-me el que acabo de dir"
ovos-skill-parrot.openvoiceos,repeat.stt.intent,m'està semblant una idea tan bona que necessito que repeteixis el que acabo de dir
ovos-skill-parrot.openvoiceos,repeat.stt.intent,t'ordeno que diguis el mateix que he dit ara com si jo fos el teu caporal i tu un soldat
ovos-skill-parrot.openvoiceos,repeat.stt.intent,fes servir les mateixes paraules que acabo de dir
ovos-skill-parrot.openvoiceos,repeat.stt.intent,parla de la mateixa manera com t'acabo de parlar
ovos-skill-parrot.openvoiceos,repeat.stt.intent,digues exactament mot per mot del que t'he dit
ovos-skill-parrot.openvoiceos,repeat.tts.intent,torna-ho a dir
ovos-skill-parrot.openvoiceos,repeat.tts.intent,repeteix
ovos-skill-parrot.openvoiceos,repeat.tts.intent,"torna-hi, si us plau"
ovos-skill-parrot.openvoiceos,repeat.tts.intent,diga-ho un altre cop
ovos-skill-parrot.openvoiceos,repeat.tts.intent,com dius?
ovos-skill-parrot.openvoiceos,repeat.tts.intent,què has dit?
ovos-skill-parrot.openvoiceos,repeat.tts.intent,"pots repetir l'ultim punt, sisplau?"
ovos-skill-parrot.openvoiceos,repeat.tts.intent,digues-ho una altra vegada
ovos-skill-parrot.openvoiceos,repeat.tts.intent,"no t'he entès, podries repetir-ho?"
ovos-skill-parrot.openvoiceos,repeat.tts.intent,repeteix la teva resposta
ovos-skill-parrot.openvoiceos,repeat.tts.intent,torna-hi
ovos-skill-parrot.openvoiceos,repeat.tts.intent,digue-m'ho un altre cop
ovos-skill-parrot.openvoiceos,repeat.tts.intent,recorda'm què acabes de dir
ovos-skill-parrot.openvoiceos,repeat.tts.intent,em pots repetir això últim?
ovos-skill-parrot.openvoiceos,repeat.tts.intent,"no t'he entès, pots tornar-ho a repetir?"
ovos-skill-parrot.openvoiceos,repeat.tts.intent,pots repetir-me exactament el que m'has dit?
ovos-skill-parrot.openvoiceos,repeat.tts.intent,pots tornar a repetir les mateixes paraules que has emprat en l'anterior interacció?
ovos-skill-parrot.openvoiceos,repeat.tts.intent,"ostres, no he entès una merda! pots tornar-ho a dir?"
ovos-skill-parrot.openvoiceos,repeat.tts.intent,com dius? torna a repetir el que has dit
ovos-skill-parrot.openvoiceos,start_parrot.intent,activa el mode lloro
ovos-skill-parrot.openvoiceos,start_parrot.intent,"a partir d'ara, repeteix tot el que diré"
ovos-skill-parrot.openvoiceos,start_parrot.intent,repeteix el que dic jo
ovos-skill-parrot.openvoiceos,start_parrot.intent,repeteix-me fins que et digui
ovos-skill-parrot.openvoiceos,start_parrot.intent,inicia el modo lloro
ovos-skill-parrot.openvoiceos,start_parrot.intent,comença a dir tot el que jo dic
ovos-skill-parrot.openvoiceos,start_parrot.intent,ves repetint-me
ovos-skill-parrot.openvoiceos,start_parrot.intent,repeteix tot el que digui
ovos-skill-parrot.openvoiceos,start_parrot.intent,fes de lloro
ovos-skill-parrot.openvoiceos,start_parrot.intent,repeteix el que digui automàticament
ovos-skill-parrot.openvoiceos,start_parrot.intent,imita'm
ovos-skill-parrot.openvoiceos,start_parrot.intent,inicia el mode lloro
ovos-skill-parrot.openvoiceos,start_parrot.intent,inicia mode de repetició
ovos-skill-parrot.openvoiceos,start_parrot.intent,"ara, repeteix el que digui"
ovos-skill-parrot.openvoiceos,start_parrot.intent,imita'm com un lloro
ovos-skill-parrot.openvoiceos,start_parrot.intent,"des d'ara, imita tot el que jo digui"
ovos-skill-parrot.openvoiceos,start_parrot.intent,comença a repetir-me com un lloro
ovos-skill-parrot.openvoiceos,start_parrot.intent,activa mode repetició
ovos-skill-parrot.openvoiceos,start_parrot.intent,activa aquesta cosa que fas de repetir tot el que et vaig dient
ovos-skill-parrot.openvoiceos,start_parrot.intent,posa on al mode parrot
ovos-skill-parrot.openvoiceos,start_parrot.intent,ara vull que em repeteixis tota l'estona
ovos-skill-parrot.openvoiceos,start_parrot.intent,a partir d'ara pots repetir tot el que dic com si fossis el meu eco?
ovos-skill-parrot.openvoiceos,stop_parrot.intent,para de repetir el que dic
ovos-skill-parrot.openvoiceos,stop_parrot.intent,atura el modo lloro
ovos-skill-parrot.openvoiceos,stop_parrot.intent,prou de repetir-me
ovos-skill-parrot.openvoiceos,stop_parrot.intent,no em repeteixis més
ovos-skill-parrot.openvoiceos,stop_parrot.intent,ja no em repeteixis
ovos-skill-parrot.openvoiceos,stop_parrot.intent,desactiva el mode lloro
ovos-skill-parrot.openvoiceos,stop_parrot.intent,ja n'hi ha prou!
ovos-skill-parrot.openvoiceos,stop_parrot.intent,stop mode lloro
ovos-skill-parrot.openvoiceos,stop_parrot.intent,deixa d'imitar-me
ovos-skill-parrot.openvoiceos,stop_parrot.intent,torna al mode normal
ovos-skill-parrot.openvoiceos,stop_parrot.intent,prou de copiar-me
ovos-skill-parrot.openvoiceos,stop_parrot.intent,desconnecta el mode repetició
ovos-skill-parrot.openvoiceos,stop_parrot.intent,para d'imitar-me!
ovos-skill-parrot.openvoiceos,stop_parrot.intent,prou de lloro!
ovos-skill-parrot.openvoiceos,stop_parrot.intent,fins aquí!
ovos-skill-parrot.openvoiceos,stop_parrot.intent,estop repeticions!
ovos-skill-parrot.openvoiceos,stop_parrot.intent,para siusplau de repetir-me
ovos-skill-parrot.openvoiceos,stop_parrot.intent,para de dir tota l'estona el mateix del que estic dient!
ovos-skill-parrot.openvoiceos,stop_parrot.intent,stop al mode de repetició
ovos-skill-parrot.openvoiceos,stop_parrot.intent,a partir d'ara et demano que aturis el mode de repetició
ovos-skill-parrot.openvoiceos,stop_parrot.intent,"ostres, què pesat! atura aquest mode de repetició!"
ovos-skill-personal.openvoiceos,WhatAreYou.intent,quina mena d'artefacte ets?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,què ets exactament?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,què nassos ets?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,quin tipus d'invent ets?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,no entenc què ets... m'ho podries explicar?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,ets un assistent virtual?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,ets un robot?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,a què et dediques?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,quin és el teu propòsit?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,quin tipus de màquina ets?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,ets una intel·ligència artificial?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,què se suposa que ets tu?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,m'expliques exactament què ets?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,què coi ets?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,"ets una andròmina, una màquina o què?"
ovos-skill-personal.openvoiceos,WhatAreYou.intent,quina carraca se suposa que ets?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,quin tipus de robot ets?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,amb quina mena de cosa representa que estic parlant?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,quin material tens a dins teu?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,de quina tecnologia estàs format?
ovos-skill-personal.openvoiceos,WhatAreYou.intent,com et definiries?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quan vas sortir de l'ou?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quan vas ser creat?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quan fa que et van crear?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quan fa que existeixes?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,des de quin any funciones?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,em pots dir quan vas néixer?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quan vas néixer?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quan vas entrar en funcionament?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,fa quant que ets aquí?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quant temps fa que treballes?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quan et van posar en marxa?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quin dia et van crear?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,des de quan existeixes?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quina és la data del teu naixement?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,a quin any vas néixer tu?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quan et van parir?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quan vas veure la llum per primer cop?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quan va ser la primera vegada que vas obrir els ulls?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,quin dia vas ser creat?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,en quin moment vas néixer?
ovos-skill-personal.openvoiceos,WhenWereYouBorn.intent,en quina data et van crear els teus pares?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,on vas aparèixer?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,on vas néixer?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,on et van crear?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,quin és el teu lloc d'origen?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,d'on surts?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,em pots dir on vas néixer?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,a quin país et van crear?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,ets d'aquí o de l'estranger?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,on et van dissenyar?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,d'on vens?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,a quina empresa et van fer?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,d'on t'has sortit?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,a quin lloc et van crear?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,et van fer a un laboratori o a on?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,vas néixer a Catalunya?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,quina nacionalitat tens?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,a quin lloc del món vas treure el cap?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,a quina ciutat et van crear?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,quins van ser els ciutadans que et van saludar primer?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,on vas ser creat?
ovos-skill-personal.openvoiceos,WhereWereYouBorn.intent,en quina localització vas néixer?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,com et dius?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,quin és el teu nom?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,com t'he d'anomenar?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,qui ets?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,com m'he de referir a tu?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,com et diuen els teus amics?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,tens algun nom?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,com et puc anomenar?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,com et fas conèixer?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,et pots presentar?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,com vols que em dirigeixi a tu?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,com t'he de dir?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,"m'expliques qui ets, si us plau?"
ovos-skill-personal.openvoiceos,WhoAreYou.intent,amb qui parlo?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,qui és vostè?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,presenta't una mica que no sé ni com et dius.
ovos-skill-personal.openvoiceos,WhoAreYou.intent,com et fas anomenar?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,com et nomies?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,quin nom posa al teu DNI?
ovos-skill-personal.openvoiceos,WhoAreYou.intent,amb quin nom et sents interpel·lat?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui t'ha fet existir?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui et va inventar?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui et va crear?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui són els teus pares?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,diga'm qui et va desenvolupar
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,podries explicar-me qui t'ha fet
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui és el teu creador?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui t'ha desenvolupat?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui hi ha darrere teu?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui t'ha posat en marxa?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui t'ha programat?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui és la mare que et va parir?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,et van fer uns enginyers?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui t'ha inventat?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui són els teus creadors?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,qui són els genis que han tingut la idea de crear-te?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,com es diuen les persones que t'han creat?
ovos-skill-personal.openvoiceos,WhoMadeYou.intent,quin nom tenen els teus creadors?
ovos-skill-weather.openvoiceos,current_temperature.intent,"pots mirar si farà fred a Viladecans, aquest cap de setmana?"
ovos-skill-weather.openvoiceos,is_rain.intent,"ha de ploure avui a Barcelona?"
ovos-skill-weather.openvoiceos,is_snow.intent,"podries dir-me si nevarà demà a Llívia?"
ovos-skill-weather.openvoiceos,current_weather.intent,"fa bon temps a Tarragona?"
ovos-skill-weather.openvoiceos,is_rain.intent,"plourà durant la setmana a Lleida?"
ovos-skill-weather.openvoiceos,is_rain.intent,"he sentit que havia de ploure aquesta tarda a Girona, és veritat això?"
ovos-skill-weather.openvoiceos,is_clear.intent,"ha de fer sol a Castelldefels aquesta tarda?"
ovos-skill-weather.openvoiceos,is_rain.intent,"vol ploure aquest matí a l'Anoia?"
ovos-skill-weather.openvoiceos,is_rain.intent,"a la comarca del Priorat, hi plou?"
ovos-skill-weather.openvoiceos,daily_weather.intent,"demà tindrem un dia rúfol?"
ovos-skill-weather.openvoiceos,is_rain.intent,"cal que agafi paraigua aquesta tarda?"
ovos-skill-weather.openvoiceos,current_temperature.intent,"quan pujarà la temperatura?"
ovos-skill-weather.openvoiceos,N_days_forecast.intent,"mira'm la temperatura aquest mes: puc fer el canvi d'armari?"
ovos-skill-weather.openvoiceos,is_fog.intent,"farà xafogor dissabte?"
ovos-skill-weather.openvoiceos,current_temperature.intent,"quina és la sensació tèrmica ara mateix?"
ovos-skill-weather.openvoiceos,is_snow.intent,"saps si ha nevat al Pirineu?"
ovos-skill-weather.openvoiceos,N_days_forecast.intent,"aquest any patirem alguna onada de calor?"
ovos-skill-weather.openvoiceos,is_rain.intent,"indica'm si plourà o no aquesta tarda"
ovos-skill-weather.openvoiceos,is_snow.intent,"hi haurà neu a Montserrat a partir de demà?"
ovos-skill-weather.openvoiceos,is_clear.intent,"es preveu sol per la tarda a Piera?"
ovos-skill-weather.openvoiceos,is_rain.intent,"saps si tindrem pluges a partir de divendres?"
ovos-skill-weather.openvoiceos,is_wind.intent,"comprova si aquesta tarda farà vent a Marsella"
ovos-skill-weather.openvoiceos,current_temperature.intent,"és veritat que pujaran les temperatures durant el cap de setmana?"
ovos-skill-weather.openvoiceos,current_temperature.intent,"pots consultar si farà fred demà?"
ovos-skill-weather.openvoiceos,daily_weather.intent,"necessito que em diguis si demà farà mal temps"
ovos-skill-weather.openvoiceos,is_clear.intent,"farà sol o núvol demà a Vilanova?"
ovos-skill-weather.openvoiceos,next_rain.intent,"quan hi ha previsió que torni a ploure a Catalunya?"
ovos-skill-weather.openvoiceos,is_rain.intent,"demà farà pedregada a Lleida?"
ovos-skill-weather.openvoiceos,current_temperature.intent,"creus que tindré fred si vaig a la platja avui a Barcelona?"
ovos-skill-weather.openvoiceos,is_rain.intent,"si surto de casa sense paraigua avui a Igualada tornaré mullada a la tarda?"
ovos-skill-weather.openvoiceos,current_temperature.intent,"avui tu em recomanes un jersei de coll alt o un jersei més lleuger per portar per Barcelona?"
ovos-skill-weather.openvoiceos,N_days_forecast.intent,"sortirà el sol algun dia d'aquesta setmana?"
ovos-skill-weather.openvoiceos,is_wind.intent,"aquesta tarda afluixarà el vent o sortiré volant?"
ovos-skill-weather.openvoiceos,weekend_forecast.intent,"quin temps farà a Viladecans aquest cap de setmana"
ovos-skill-weather.openvoiceos,current_weather.intent,"quin temps fa aquesta tarda a Barcelona?"
ovos-skill-weather.openvoiceos,is_rain.intent,"visc a Sant Cugat, m'he de posar jaqueta o agafar el paraigua aquesta tarda?"
ovos-skill-weather.openvoiceos,N_days_forecast.intent,"diga'm el temps d'aquesta setmana a Olo"
ovos-skill-weather.openvoiceos,current_weather.intent,"al Solsonès, quin temps hi fa?"
ovos-skill-weather.openvoiceos,current_weather.intent,"indica'm les condicions meteorològiques acutals a Móra d'Ebre"
ovos-skill-weather.openvoiceos,current_weather.intent,"podries dir-me quin temps ha de fer a Vic durant el dia?"
ovos-skill-weather.openvoiceos,hourly_forecast.intent,"quin temps ha de fer aquesta tarda a Manresa?"
ovos-skill-weather.openvoiceos,daily_forecast.intent,"quin temps farà a Terrassa el dijous?"
ovos-skill-weather.openvoiceos,N_days_forecast.intent,"fes-me un resum del temps aquesta setmana a Estocolm"
ovos-skill-weather.openvoiceos,daily_forecast.intent,"vull que em diguis quin temps es preveu per a la festa major de Vilanova i la Geltrú"
ovos-skill-weather.openvoiceos,N_days_forecast.intent,"em podries fer la previsió del temps per demà?"
ovos-skill-weather.openvoiceos,hourly_forecast.intent,"creus el temps remuntarà aquesta tarda?"
ovos-skill-weather.openvoiceos,weekend_forecast.intent,"com pinta el temps pel cap de setmana?"
ovos-skill-weather.openvoiceos,daily_forecast.intent,"dilluns farà bo per anar a la platja?"
ovos-skill-weather.openvoiceos,N_days_forecast.intent,"el temps continuarà així els propers dies?"
ovos-skill-weather.openvoiceos,daily_forecast.intent,"tindrem bon temps per la revetlla de Sant Joan?"
ovos-skill-weather.openvoiceos,daily_forecast.intent,"quina és la previsió del temps per demà?"
ovos-skill-weather.openvoiceos,hourly_forecast.intent,"indica'm quin temps s'espera aquesta tarda"
ovos-skill-weather.openvoiceos,N_days_forecast.intent,"necessito saber el temps de la setmana que ve a Madrid"
ovos-skill-weather.openvoiceos,daily_forecast.intent,"saps si farà bon temps dimecres a París?"
ovos-skill-weather.openvoiceos,daily_forecast.intent,"tens idea de la meteorologia de demà passat a la ubicació actual?"
ovos-skill-weather.openvoiceos,hourly_weather.intent,"què diu el temps per avui al migdia?"
ovos-skill-weather.openvoiceos,daily_forecast.intent,"la previsió meteorològica de dijous és bona oi?"
ovos-skill-weather.openvoiceos,hourly_forecast.intent,"explica'm la previsió del temps per la nit"
ovos-skill-weather.openvoiceos,N_days_forecast.intent,"quina és la previsió del temps per aquests dies?"
ovos-skill-weather.openvoiceos,current_temperature.intent,"avui creus que m'hauria d'abrigar molt?"
ovos-skill-weather.openvoiceos,is_rain.intent,"necessito agafar paraigua per aquest finde?"
ovos-skill-weather.openvoiceos,hourly_forecast.intent,"avui a la nit quin temps farà a Barcelona?"
ovos-skill-weather.openvoiceos,daily_forecast.intent,"quin temps pinta demà?"
ovos-skill-weather.openvoiceos,daily_forecast.intent,"mira'm la previsió per demà, siusplau!"
ovos-skill-weather.openvoiceos,is_clear.intent,"com pinta el cel avui?"
ovos-skill-weather.openvoiceos,daily_forecast.intent,"converteix-te en Tomàs Molina i diga'm la previsió de demà"
ovos-skill-weather.openvoiceos,sunrise.intent,"a quina hora es llevarà el sol, demà?"
ovos-skill-weather.openvoiceos,sunrise.intent,a quina hora sortirà el sol a Girona demà?
ovos-skill-weather.openvoiceos,sunrise.intent,quan surt el sol demà?
ovos-skill-weather.openvoiceos,sunrise.intent,avui quan es fa de dia?
ovos-skill-weather.openvoiceos,sunrise.intent,a quina hora veurem els primers rajos de sol?
ovos-skill-weather.openvoiceos,sunrise.intent,demà quan comencen les hores de sol?
ovos-skill-weather.openvoiceos,sunrise.intent,"avui, a quina hora comença el dia?"
ovos-skill-weather.openvoiceos,sunrise.intent,"quan es farà de dia, la setmana vinent?"
ovos-skill-weather.openvoiceos,sunrise.intent,"amb el canvi d'hora, el sol surt més d'hora?"
ovos-skill-weather.openvoiceos,sunrise.intent,"em pots dir l'hora de sortida del sol, sisplau?"
ovos-skill-weather.openvoiceos,sunrise.intent,a quina hora sortirà el sol a Menorca dimecres?
ovos-skill-weather.openvoiceos,sunrise.intent,vull que em diguis si el sol surt abans a l'estiu
ovos-skill-weather.openvoiceos,sunrise.intent,a partir de quina hora hi haurà llum demà?
ovos-skill-weather.openvoiceos,sunrise.intent,demà quan s'espera l'aurora?
ovos-skill-weather.openvoiceos,sunrise.intent,em pots indicar l'horari de l'albada per dijous?
ovos-skill-weather.openvoiceos,sunrise.intent,quan es produirà el trenc d'alba demà?
ovos-skill-weather.openvoiceos,sunrise.intent,"demà passat, quan seran les albors?"
ovos-skill-weather.openvoiceos,sunrise.intent,a quina hora el sol començarà a treure el cap demà?
ovos-skill-weather.openvoiceos,sunrise.intent,quan podré veure el primer raig de sol per l'horitzó demà?
ovos-skill-weather.openvoiceos,sunrise.intent,"si deixo la finestra oberta de l'habitació, a quina hora veuré entrar el sol?"
ovos-skill-weather.openvoiceos,sunrise.intent,a quina hora dirà hola demà el sol?
ovos-skill-weather.openvoiceos,sunrise.intent,a quina hora és l'eixida del sol demà?
ovos-skill-weather.openvoiceos,sunset.intent,quina hora marcarà el rellotge quan es pongui el sol?
ovos-skill-weather.openvoiceos,sunset.intent,quan es pondrà el sol?
ovos-skill-weather.openvoiceos,sunset.intent,quan se'n va el sol?
ovos-skill-weather.openvoiceos,sunset.intent,a quina hora marxa el sol demà?
ovos-skill-weather.openvoiceos,sunset.intent,a quina hora es farà fosc avui?
ovos-skill-weather.openvoiceos,sunset.intent,"quan se n'anirà a dormir el sol, avui?"
ovos-skill-weather.openvoiceos,sunset.intent,"avui, a quina hora acaba el dia?"
ovos-skill-weather.openvoiceos,sunset.intent,saps si a l'hivern el sol es pon abans?
ovos-skill-weather.openvoiceos,sunset.intent,quan es fa fosc actualment?
ovos-skill-weather.openvoiceos,sunset.intent,creus que el sol es pon després de les vuit al juny?
ovos-skill-weather.openvoiceos,sunset.intent,a quina hora cau el sol avui?
ovos-skill-weather.openvoiceos,sunset.intent,quan tindrem la posta de sol la nit de Nadal?
ovos-skill-weather.openvoiceos,sunset.intent,a quina hora s'iniciarà el capvespre?
ovos-skill-weather.openvoiceos,sunset.intent,quan s'amagarà el sol demà?
ovos-skill-weather.openvoiceos,sunset.intent,em pots dir l'horari de la caiguda del sol?
ovos-skill-weather.openvoiceos,sunset.intent,digues a quina hora se n'anirà a dormir el sol demà
ovos-skill-weather.openvoiceos,sunset.intent,a partir de quan podem veure la posta de sol
ovos-skill-weather.openvoiceos,sunset.intent,quan dirà adéu el sol?
ovos-skill-weather.openvoiceos,sunset.intent,a quina hora ja no hi haurà la llum del sol pels carrers avui?
ovos-skill-weather.openvoiceos,sunset.intent,a quina hora li haig de dir bona nit al sol?
ovos-skill-weather.openvoiceos,sunset.intent,a quina hora baixa la persiana el sol?
ovos-skill-weather.openvoiceos,sunset.intent,a quina hora s'amagarà el sol?
ovos-skill-wikipedia.openvoiceos,wiki.intent,què diu la viquipèdia sobre la clorofil·la?
ovos-skill-wikipedia.openvoiceos,wiki.intent,cerca a la wikipèdia informació sobre el zodíac
ovos-skill-wikipedia.openvoiceos,wiki.intent,aviam què diu la wikipèdia sobre Dora Maar
ovos-skill-wikipedia.openvoiceos,wiki.intent,pots consultar a la wikipèdia què és el matcha?
ovos-skill-wikipedia.openvoiceos,wiki.intent,troba'm un article a la wikipèdia sobre les diferents religions a l'Índia
common_query,common_query,busca'm informació sobre les falgueres
common_query,common_query,parla'm dels ossos rentadors
common_query,common_query,què saps de les aurores boreals
common_query,common_query,explica'm la guerra del francès
common_query,common_query,pots llegir-me l'article d'Ovidi Montllor?
common_query,common_query,què són els anèl·lids?
